"State","Year","Total_Births","Nicu_Births","State_Control","Preterm_Births","Ceasarean_Births","Covid_Year","Total.Population","Birth_Rate","PretermBirth_Rate","CBirth_Rate","NICUBirth_Rate"
"Idaho",2022,22391,2355,"Rep",4361,5480,"1",1939033,0.0115475085,0.194765754097629,0.24474119065696,0.105176186860792
"Idaho",2023,22397,2356,"Rep",4291,5469,"1",1964726,0.0113995539,0.191588159128455,0.244184488994062,0.105192659731214
"Illinoi",2016,154445,14610,"Divided",30483,47965,"0",12801539,0.012064565,0.197371232477581,0.310563631066075,0.0945967820259639
"Illinoi",2017,149390,14394,"Divided",30351,46467,"0",12802023,0.0116692495,0.203166209250954,0.3110449159917,0.0963518307784992
"Illinoi",2018,144815,14307,"Divided",30314,45099,"0",12741080,0.011365991,0.209329144080378,0.311424921451507,0.0987950143286262
"Illinoi",2019,140128,13554,"Dem",30157,42925,"0",12671821,0.011058237,0.215210379081982,0.306327072390957,0.0967258506508335
"Illinoi",2020,133298,12692,"Dem",28614,41086,"1",12587530,0.0105896868,0.214661885399631,0.308226680070219,0.0952152320364897
"Illinoi",2021,132189,12800,"Dem",29867,41199,"1",12671469,0.0104320186,0.225941644161012,0.311667385334635,0.0968310525081512
"Illinoi",2022,128350,12503,"Dem",29396,39725,"1",12582032,0.010201055,0.229029996104402,0.309505259057265,0.0974133229450721
"Illinoi",2023,124820,12581,"Dem",29113,38710,"1",12549689,0.0099460632,0.233239865406185,0.310126582278481,0.10079314212466
"Indiana",2016,83091,7945,"Rep",15631,24762,"0",6633053,0.0125268108,0.188119050197976,0.298010614868036,0.0956180573106594
"Indiana",2017,82170,8345,"Rep",15970,24431,"0",6666818,0.0123252202,0.194353170256785,0.297322623828648,0.101557746136059
"Indiana",2018,81646,8424,"Rep",16556,24344,"0",6691878,0.0122007604,0.202777845822208,0.298165249981628,0.103177130539157
"Indiana",2019,80859,8522,"Rep",17108,23667,"0",6732219,0.0120107501,0.211578179299769,0.292694690757986,0.105393339022249
"Indiana",2020,78616,8271,"Rep",17071,23642,"1",6754953,0.0116382749,0.217144092805536,0.300727587259591,0.105207591330009
"Indiana",2021,79946,8953,"Rep",18764,24272,"1",6805985,0.0117464261,0.234708428189028,0.303604933329998,0.111988091962074
"Indiana",2022,79649,9028,"Rep",18937,24282,"1",6833037,0.0116564567,0.237755652927218,0.304862584589888,0.113347311328454
"Indiana",2023,79000,9002,"Rep",19369,24280,"1",6862199,0.0115123447,0.245177215189873,0.307341772151899,0.113949367088608
"Iowa",2016,39403,3406,"Divided",6901,11841,"0",3134693,0.012569971,0.175138948811004,0.300510113443139,0.0864401187726823
"Iowa",2017,38430,3528,"Rep",6920,11429,"0",3145711,0.012216634,0.180067655477492,0.297397866250325,0.0918032786885246
"Iowa",2018,37785,3687,"Rep",7337,11269,"0",3156145,0.0119718834,0.194177583697234,0.298240042344846,0.0975784041286225
"Iowa",2019,37649,3705,"Rep",7426,11134,"0",3155070,0.0119328573,0.19724295466015,0.295731626338017,0.0984089882865415
"Iowa",2020,36114,3542,"Rep",7428,10910,"1",3163561,0.0114156168,0.205682006977903,0.302098909010356,0.0980783075815473
"Iowa",2021,36835,3718,"Rep",7939,10938,"1",3193079,0.0115358875,0.215528709108185,0.296945839554771,0.100936609203203
"Iowa",2022,36506,3696,"Rep",8191,10788,"1",3200517,0.0114062822,0.224374075494439,0.295513066345258,0.101243631183915
"Iowa",2023,36052,3849,"Rep",8333,10903,"1",3207004,0.0112416448,0.231138355708421,0.302424276045712,0.106762454232775
"Kansas",2016,38053,2965,"Rep",6837,11235,"0",2907289,0.0130888261,0.179670459622106,0.295246104117941,0.0779176411846635
"Kansas",2017,36519,2817,"Rep",6996,10938,"0",2913123,0.0125360309,0.191571510720447,0.299515320791917,0.077137928201758
"Kansas",2018,36261,2750,"Rep",7036,10785,"0",2911505,0.0124543836,0.194037671327321,0.297426987672706,0.0758390557348115
"Kansas",2019,35395,2840,"Divided",7403,10505,"0",2913314,0.0121493941,0.20915383528747,0.296793332391581,0.0802373216556011
"Kansas",2020,34376,2725,"Divided",7159,10363,"1",2913805,0.0117976323,0.208255759832441,0.301460321154294,0.0792704212241098
"Kansas",2021,34705,2698,"Divided",7511,10269,"1",2934582,0.0118262158,0.216424146376603,0.295893963405849,0.0777409595159199
"Kansas",2022,34401,2766,"Divided",7840,10352,"1",2937150,0.0117123742,0.227900351733961,0.300921484840557,0.0804046394000174
"Kansas",2023,34065,2892,"Divided",7897,10320,"1",2940546,0.0115845833,0.231821517686775,0.30295024218406,0.0848965213562307
"Kentuck",2016,55449,5115,"Divided",12395,19115,"0",4436974,0.0124970306,0.223538747317355,0.344731194430918,0.0922469296109939
"Kentuck",2017,54752,5296,"Rep",12512,19257,"0",4454189,0.0122922489,0.228521332554062,0.351713179427236,0.0967270601987142
"Kentuck",2018,53922,5434,"Rep",12829,18509,"0",4468402,0.0120674013,0.237917733021772,0.343255072141241,0.10077519379845
"Kentuck",2019,53069,5040,"Rep",12895,17845,"0",4467673,0.0118784432,0.242985547117903,0.33626034031167,0.0949706985245624
"Kentuck",2020,51668,5090,"Divided",12537,17709,"1",4477251,0.0115401169,0.242645351087714,0.342745993651777,0.0985135867461485
"Kentuck",2021,52214,5829,"Divided",13552,18126,"1",4509394,0.0115789394,0.259547247864557,0.347148274409162,0.111636725782357
"Kentuck",2022,52315,5869,"Divided",13774,18016,"1",4512310,0.01159384,0.263289687470133,0.344375418140113,0.112185797572398
"Kentuck",2023,51984,5876,"Divided",14033,17822,"1",4526154,0.0114852477,0.269948445675593,0.342836257309941,0.113034779932287
"Louisia",2016,63178,5853,"Rep",15281,23713,"0",4681666,0.0134947687,0.24187217069233,0.375336351261515,0.0926430086422489
"Louisia",2017,61018,5801,"Divided",14895,22866,"0",4684333,0.013025974,0.244108295912682,0.37474187944541,0.0950703071224884
"Louisia",2018,59615,5987,"Divided",15156,22038,"0",4659978,0.0127929789,0.254231317621404,0.369672062400403,0.100427744695127
